"","display_name","variable","value","state"
"1","South Dakota State University","Mid Career 10th Percentile Salary",34100,"SD"
"2","Idaho State University","Mid Career 10th Percentile Salary",35400,"ID"
"3","Ball State University","Mid Career 10th Percentile Salary",35500,"IN"
"4","Kent State University","Mid Career 10th Percentile Salary",36100,"OH"
"5","University of Memphis","Mid Career 10th Percentile Salary",36100,"TN"
"6","University of Massachusetts Boston","Mid Career 10th Percentile Salary",36300,"MA"
"7","University of Missouri Kansas City","Mid Career 10th Percentile Salary",36300,"MO"
"8","University of South Carolina","Mid Career 10th Percentile Salary",36300,"SC"
"9","Ohio University","Mid Career 10th Percentile Salary",36600,"OH"
"10","Ohio University","Mid Career 10th Percentile Salary",36600,"OH"
"11","University of Missouri St. Louis","Mid Career 10th Percentile Salary",36800,"MO"
"12","University of Montana","Mid Career 10th Percentile Salary",37000,"MT"
"13","University of California Riverside","Mid Career 10th Percentile Salary",37200,"CA"
"14","Boise State University","Mid Career 10th Percentile Salary",37400,"ID"
"15","New Mexico State University","Mid Career 10th Percentile Salary",37400,"NM"
"16","Virginia Commonwealth University","Mid Career 10th Percentile Salary",37400,"VA"
"17","University of Texas El Paso","Mid Career 10th Percentile Salary",37700,"TX"
"18","Eastern Michigan University","Mid Career 10th Percentile Salary",37900,"MI"
"19","University of Oregon","Mid Career 10th Percentile Salary",38100,"OR"
"20","Bowling Green State University","Mid Career 10th Percentile Salary",38200,"OH"
"21","University of North Carolina Charlotte","Mid Career 10th Percentile Salary",38200,"NC"
"22","Southern Illinois University Carbondale","Mid Career 10th Percentile Salary",38300,"IL"
"23","East Carolina University","Mid Career 10th Percentile Salary",38400,"NC"
"24","Lamar University","Mid Career 10th Percentile Salary",38700,"TX"
"25","North Dakota State University","Mid Career 10th Percentile Salary",39000,"ND"
"26","University of Nevada Las Vegas","Mid Career 10th Percentile Salary",39000,"NV"
"27","Illinois State University","Mid Career 10th Percentile Salary",39100,"IL"
"28","University of Texas San Antonio","Mid Career 10th Percentile Salary",39100,"TX"
"29","Cleveland State University","Mid Career 10th Percentile Salary",39500,"OH"
"30","University of Central Florida","Mid Career 10th Percentile Salary",39500,"FL"
"31","University of Nebraska Omaha","Mid Career 10th Percentile Salary",39500,"NE"
"32","Florida State University","Mid Career 10th Percentile Salary",39600,"FL"
"33","West Virginia University","Mid Career 10th Percentile Salary",39700,"WV"
"34","Oklahoma State University","Mid Career 10th Percentile Salary",40100,"OK"
"35","University of Alabama","Mid Career 10th Percentile Salary",40100,"AL"
"36","University of Toledo","Mid Career 10th Percentile Salary",40100,"OH"
"37","Wayne State University","Mid Career 10th Percentile Salary",40100,"MI"
"38","Western Michigan University","Mid Career 10th Percentile Salary",40100,"MI"
"39","Montana State University","Mid Career 10th Percentile Salary",40200,"MT"
"40","University of Hawaii Manoa","Mid Career 10th Percentile Salary",40400,"HI"
"41","University of Mississippi","Mid Career 10th Percentile Salary",40400,"MS"
"42","University of Mississippi","Mid Career 10th Percentile Salary",40400,"MS"
"43","Florida International University","Mid Career 10th Percentile Salary",40500,"FL"
"44","University of Akron","Mid Career 10th Percentile Salary",40600,"OH"
"45","University of Wisconsin Milwaukee","Mid Career 10th Percentile Salary",40600,"WI"
"46","Florida Atlantic University","Mid Career 10th Percentile Salary",40700,"FL"
"47","Portland State University","Mid Career 10th Percentile Salary",40700,"OR"
"48","University of Oklahoma","Mid Career 10th Percentile Salary",41200,"OK"
"49","University of Wyoming","Mid Career 10th Percentile Salary",41500,"WY"
"50","Utah State University","Mid Career 10th Percentile Salary",41600,"UT"
"51","University of New Hampshire","Mid Career 10th Percentile Salary",41700,"NH"
