"","state_name","race","pct"
"1","Alabama","hispanic",3
"2","Alaska","hispanic",5
"3","Arizona","hispanic",31
"4","Arkansas","hispanic",5
"5","California","hispanic",30
"6","Colorado","hispanic",20
"7","Connecticut","hispanic",11
"8","Delaware","hispanic",9
"9","District of Columbia","hispanic",11
"10","Florida","hispanic",14
"11","Georgia","hispanic",6
"12","Hawaii","hispanic",10
"13","Idaho","hispanic",13
"14","Illinois","hispanic",5
"15","Indiana","hispanic",4
"16","Iowa","hispanic",5
"17","Kansas","hispanic",10
"18","Kentucky","hispanic",2
"19","Louisiana","hispanic",3
"20","Maine","hispanic",1
"21","Maryland","hispanic",6
"22","Massachusetts","hispanic",9
"23","Michigan","hispanic",3
"24","Minnesota","hispanic",4
"25","Mississippi","hispanic",2
"26","Missouri","hispanic",3
"27","Montana","hispanic",3
"28","Nebraska","hispanic",7
"29","Nevada","hispanic",17
"30","New Hampshire","hispanic",2
"31","New Jersey","hispanic",17
"32","New Mexico","hispanic",47
"33","New York","hispanic",8
"34","North Carolina","hispanic",7
"35","North Dakota","hispanic",3
"36","Ohio","hispanic",3
"37","Oklahoma","hispanic",9
"38","Oregon","hispanic",12
"39","Pennsylvania","hispanic",4
"40","Puerto Rico","hispanic",99
"41","Rhode Island","hispanic",7
"42","South Carolina","hispanic",4
"43","South Dakota","hispanic",3
"44","Tennessee","hispanic",3
"45","Texas","hispanic",35
"46","Utah","hispanic",9
"47","Vermont","hispanic",2
"48","Virginia","hispanic",5
"49","Washington","hispanic",14
"50","West Virginia","hispanic",1
"51","Wisconsin","hispanic",4
"52","Wyoming","hispanic",8
"53","Alabama","white",65
"54","Alaska","white",48
"55","Arizona","white",51
"56","Arkansas","white",76
"57","California","white",55
"58","Colorado","white",75
"59","Connecticut","white",76
"60","Delaware","white",65
"61","District of Columbia","white",36
"62","Florida","white",68
"63","Georgia","white",63
"64","Hawaii","white",26
"65","Idaho","white",83
"66","Illinois","white",87
"67","Indiana","white",91
"68","Iowa","white",91
"69","Kansas","white",85
"70","Kentucky","white",92
"71","Louisiana","white",62
"72","Maine","white",94
"73","Maryland","white",68
"74","Massachusetts","white",78
"75","Michigan","white",88
"76","Minnesota","white",89
"77","Mississippi","white",54
"78","Missouri","white",91
"79","Montana","white",87
"80","Nebraska","white",90
"81","Nevada","white",72
"82","New Hampshire","white",93
"83","New Jersey","white",62
"84","New Mexico","white",42
"85","New York","white",81
"86","North Carolina","white",68
"87","North Dakota","white",88
"88","Ohio","white",90
"89","Oklahoma","white",71
"90","Oregon","white",81
"91","Pennsylvania","white",88
"92","Puerto Rico","white",1
"93","Rhode Island","white",84
"94","South Carolina","white",57
"95","South Dakota","white",80
"96","Tennessee","white",86
"97","Texas","white",57
"98","Utah","white",85
"99","Vermont","white",94
"100","Virginia","white",72
"101","Washington","white",76
"102","West Virginia","white",94
"103","Wisconsin","white",89
"104","Wyoming","white",87
"105","Alabama","black",29
"106","Alaska","black",1
"107","Arizona","black",2
"108","Arkansas","black",16
"109","California","black",3
"110","Colorado","black",1
"111","Connecticut","black",6
"112","Delaware","black",20
"113","District of Columbia","black",47
"114","Florida","black",14
"115","Georgia","black",28
"116","Hawaii","black",1
"117","Idaho","black",0
"118","Illinois","black",5
"119","Indiana","black",3
"120","Iowa","black",1
"121","Kansas","black",2
"122","Kentucky","black",4
"123","Louisiana","black",32
"124","Maine","black",1
"125","Maryland","black",20
"126","Massachusetts","black",6
"127","Michigan","black",4
"128","Minnesota","black",2
"129","Mississippi","black",41
"130","Missouri","black",4
"131","Montana","black",0
"132","Nebraska","black",1
"133","Nevada","black",2
"134","New Hampshire","black",1
"135","New Jersey","black",11
"136","New Mexico","black",1
"137","New York","black",6
"138","North Carolina","black",20
"139","North Dakota","black",1
"140","Ohio","black",4
"141","Oklahoma","black",3
"142","Oregon","black",1
"143","Pennsylvania","black",5
"144","Puerto Rico","black",0
"145","Rhode Island","black",3
"146","South Carolina","black",35
"147","South Dakota","black",1
"148","Tennessee","black",7
"149","Texas","black",6
"150","Utah","black",0
"151","Vermont","black",1
"152","Virginia","black",18
"153","Washington","black",1
"154","West Virginia","black",2
"155","Wisconsin","black",2
"156","Wyoming","black",1
"157","Alabama","native",1
"158","Alaska","native",32
"159","Arizona","native",13
"160","Arkansas","native",1
"161","California","native",2
"162","Colorado","native",1
