"","display_name","variable","value","state"
"1","South Dakota State University","Mid Career 10th Percentile Salary",34100,"SD"
"2","Ball State University","Mid Career 10th Percentile Salary",35500,"IN"
"3","Kent State University","Mid Career 10th Percentile Salary",36100,"OH"
"4","University of South Carolina","Mid Career 10th Percentile Salary",36300,"SC"
"5","Ohio University","Mid Career 10th Percentile Salary",36600,"OH"
"6","Ohio University","Mid Career 10th Percentile Salary",36600,"OH"
"7","University of Montana","Mid Career 10th Percentile Salary",37000,"MT"
"8","New Mexico State University","Mid Career 10th Percentile Salary",37400,"NM"
"9","Virginia Commonwealth University","Mid Career 10th Percentile Salary",37400,"VA"
"10","University of Oregon","Mid Career 10th Percentile Salary",38100,"OR"
"11","Bowling Green State University","Mid Career 10th Percentile Salary",38200,"OH"
"12","East Carolina University","Mid Career 10th Percentile Salary",38400,"NC"
"13","North Dakota State University","Mid Career 10th Percentile Salary",39000,"ND"
"14","Illinois State University","Mid Career 10th Percentile Salary",39100,"IL"
"15","University of Central Florida","Mid Career 10th Percentile Salary",39500,"FL"
"16","Florida State University","Mid Career 10th Percentile Salary",39600,"FL"
"17","West Virginia University","Mid Career 10th Percentile Salary",39700,"WV"
"18","Oklahoma State University","Mid Career 10th Percentile Salary",40100,"OK"
"19","University of Alabama","Mid Career 10th Percentile Salary",40100,"AL"
"20","Wayne State University","Mid Career 10th Percentile Salary",40100,"MI"
"21","Western Michigan University","Mid Career 10th Percentile Salary",40100,"MI"
"22","Montana State University","Mid Career 10th Percentile Salary",40200,"MT"
"23","University of Mississippi","Mid Career 10th Percentile Salary",40400,"MS"
"24","University of Mississippi","Mid Career 10th Percentile Salary",40400,"MS"
"25","Florida International University","Mid Career 10th Percentile Salary",40500,"FL"
"26","University of Oklahoma","Mid Career 10th Percentile Salary",41200,"OK"
"27","University of Wyoming","Mid Career 10th Percentile Salary",41500,"WY"
"28","Utah State University","Mid Career 10th Percentile Salary",41600,"UT"
"29","University of New Hampshire","Mid Career 10th Percentile Salary",41700,"NH"
"30","University of New Mexico","Mid Career 10th Percentile Salary",41800,"NM"
"31","University of Tennessee","Mid Career 10th Percentile Salary",41900,"TN"
"32","University of Tennessee","Mid Career 10th Percentile Salary",41900,"TN"
"33","University of Houston","Mid Career 10th Percentile Salary",42000,"TX"
"34","Georgia State University","Mid Career 10th Percentile Salary",43000,"GA"
"35","University of Idaho","Mid Career 10th Percentile Salary",43000,"ID"
"36","University of Kentucky","Mid Career 10th Percentile Salary",43000,"KY"
"37","University of Utah","Mid Career 10th Percentile Salary",43000,"UT"
"38","University of Georgia","Mid Career 10th Percentile Salary",43100,"GA"
"39","University of Arkansas","Mid Career 10th Percentile Salary",43200,"AR"
"40","Mississippi State University","Mid Career 10th Percentile Salary",43300,"MS"
"41","University of Iowa","Mid Career 10th Percentile Salary",43300,"IA"
"42","University of North Dakota","Mid Career 10th Percentile Salary",43400,"ND"
"43","University of Missouri","Mid Career 10th Percentile Salary",43500,"MO"
"44","Washington State University","Mid Career 10th Percentile Salary",43600,"WA"
"45","Colorado State University","Mid Career 10th Percentile Salary",43800,"CO"
"46","Michigan State University","Mid Career 10th Percentile Salary",44200,"MI"
"47","Iowa State University","Mid Career 10th Percentile Salary",44400,"IA"
"48","University of Delaware","Mid Career 10th Percentile Salary",44500,"DE"
"49","University of Vermont","Mid Career 10th Percentile Salary",44700,"VT"
