"","state_name","state","avg_income","avg_unemployment","pop"
"1","Alabama","AL",40271,9,4850771
"2","Alaska","AK",66425,10,738565
"3","Arizona","AZ",45817,10,6809946
"4","Arkansas","AR",39025,7,2977944
"5","California","CA",61047,8,38982847
"6","Colorado","CO",54354,6,5436519
"7","Connecticut","CT",74496,7,3594478
"8","Delaware","DE",61295,6,943732
"9","District of Columbia",NA,77649,8,672391
"10","Florida","FL",47144,8,20278447
"11","Georgia","GA",43269,8,10201635
"12","Hawaii","HI",68663,4,1421658
"13","Idaho","ID",46172,6,1657375
"14","Illinois","IL",52930,7,12854526
"15","Indiana","IN",51877,5,6614418
"16","Iowa","IA",53436,4,3118102
"17","Kansas","KS",50023,4,2903820
"18","Kentucky","KY",41470,8,4424376
"19","Louisiana","LA",42654,8,4663461
"20","Maine","ME",49681,6,1330158
"21","Maryland","MD",72541,6,5996079
"22","Massachusetts","MA",71031,6,6789319
"23","Michigan","MI",47531,8,9925568
"24","Minnesota","MN",57530,4,5490726
"25","Mississippi","MS",37019,10,2986220
"26","Missouri","MO",44435,6,6075300
"27","Montana","MT",47747,5,1029862
"28","Nebraska","NE",51928,3,1893921
"29","Nevada","NV",56859,7,2887725
"30","New Hampshire","NH",64902,5,1331848
"31","New Jersey","NJ",77048,7,8960161
"32","New Mexico","NM",41197,8,2084828
"33","New York","NY",58309,7,19798228
"34","North Carolina","NC",44552,8,10052564
"35","North Dakota","ND",59796,3,745475
"36","Ohio","OH",51742,6,11609756
"37","Oklahoma","OK",46220,6,3896251
"38","Oregon","OR",48502,7,4025127
"39","Pennsylvania","PA",53282,6,12790505
"40","Puerto Rico",NA,18413,19,3468963
"41","Rhode Island","RI",69906,6,1056138
"42","South Carolina","SC",42127,9,4893444
"43","South Dakota","SD",50409,5,855444
"44","Tennessee","TN",43017,7,6597381
"45","Texas","TX",49894,6,27419612
"46","Utah","UT",59209,4,2993941
"47","Vermont","VT",55253,5,624636
"48","Virginia","VA",56270,6,8365952
"49","Washington","WA",54112,7,7169967
"50","West Virginia","WV",41702,8,1836843
"51","Wisconsin","WI",53849,5,5763217
"52","Wyoming","WY",59065,4,583200
